07-18-2017 11:08:32.474,-,API,"MESTRE SLEEP,0013A20040C0C9D1,XBee PRO 900HP 200K,8071,COM3 - 9600/8/N/1/N,3"

07-18-2017 10:56:58.461,0,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:56:59.481,1,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:57:00.262,2,SENT,7E000408014E4464
07-18-2017 10:57:00.492,3,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:57:01.442,4,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:57:02.442,5,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027503FF03FF6B
07-18-2017 10:57:03.522,6,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027503FF03FF6B
07-18-2017 10:57:03.967,7,RECV,7E002588014E4400FFFE0013A20040C0C939204553435241564F00FFFE0100C105101E000B000028D8
07-18-2017 10:57:04.491,8,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027503FF03FF6B
07-18-2017 10:57:05.452,9,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027503FF03FF6B
07-18-2017 10:57:06.453,10,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027503FF03FF6B
07-18-2017 10:57:07.458,11,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027503FF03FF6B
07-18-2017 10:57:08.504,12,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027503FF03FF6B
07-18-2017 10:57:09.481,13,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027503FF03FF6B
07-18-2017 10:57:10.512,14,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027503FF03FF6B
07-18-2017 10:57:11.492,15,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:57:12.449,16,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027503FF03FF6B
07-18-2017 10:57:13.434,17,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:57:14.459,18,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:57:15.474,19,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027303FF03FF6D
07-18-2017 10:57:16.015,20,SENT,7E000408014E4464
07-18-2017 10:57:16.462,21,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:57:17.486,22,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:57:18.472,23,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:57:19.443,24,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:57:20.484,25,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:57:21.464,26,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:57:22.495,27,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:57:23.426,28,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:57:24.492,29,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027503FF03FF6B
07-18-2017 10:57:25.433,30,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:57:26.452,31,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:57:27.452,32,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:57:28.463,33,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:57:29.433,34,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:57:30.474,35,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:57:31.424,36,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:57:32.402,37,RECV,7E002588014E4400FFFE0013A20040C0C939204553435241564F00FFFE0100C105101E000B000028D8
07-18-2017 10:57:32.502,38,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:57:33.424,39,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027503FF03FF6B
07-18-2017 10:57:34.496,40,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027403FF03FF6C
07-18-2017 10:59:15.418,41,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027203FF03FF6E
07-18-2017 10:59:16.472,42,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027303FF03FF6D
07-18-2017 10:59:17.402,43,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027303FF03FF6D
07-18-2017 10:59:18.399,44,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF027303FF03FF6D
