07-18-2017 20:57:22.147,-,API,"MESTRE SLEEP,0013A20040C0C9D1,XBee PRO 900HP 200K,8071,COM7 - 9600/8/N/1/N,3"

07-18-2017 20:55:02.256,0,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF025003FF03FF90
07-18-2017 20:55:02.317,1,RECV,7E0018920013A20040B10630FFFEC10100000F0000000000000018AB
07-18-2017 20:55:03.264,2,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF025003FF03FF90
07-18-2017 20:55:03.319,3,RECV,7E0018920013A20040B10630FFFEC10100000F0000000000000018AB
07-18-2017 20:55:04.284,4,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF025003FF03FF90
07-18-2017 20:55:04.284,5,RECV,7E0018920013A20040B10630FFFEC10100000F0000000000000018AB
07-18-2017 20:55:05.289,6,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF025003FF03FF90
07-18-2017 20:55:05.289,7,RECV,7E0018920013A20040B10630FFFEC10100000F0000000000000018AB
07-18-2017 20:55:06.243,8,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF025003FF03FF90
07-18-2017 20:55:06.314,9,RECV,7E0018920013A20040B10630FFFEC10100000F0000000000000018AB
07-18-2017 20:55:07.252,10,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF025103FF03FF8F
07-18-2017 20:55:07.313,11,RECV,7E0018920013A20040B10630FFFEC10100000F0000000000000019AA
07-18-2017 20:55:08.280,12,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF025103FF03FF8F
07-18-2017 20:55:08.280,13,RECV,7E0018920013A20040B10630FFFEC10100000F0000000000000019AA
07-18-2017 20:55:09.285,14,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF025003FF03FF90
07-18-2017 20:55:09.285,15,RECV,7E0018920013A20040B10630FFFEC10100000F0000000000000019AA
07-18-2017 20:55:10.239,16,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF025003FF03FF90
07-18-2017 20:55:10.780,17,RECV,7E0018920013A20040B10630FFFEC10100000F0000000000000019AA
07-18-2017 20:55:11.244,18,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF025103FF03FF8F
07-18-2017 20:55:11.315,19,RECV,7E0018920013A20040B10630FFFEC10100000F0000000000000019AA
07-18-2017 20:55:12.252,20,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF025103FF03FF8F
07-18-2017 20:55:12.316,21,RECV,7E0018920013A20040B10630FFFEC10100000F0000000000000019AA
07-18-2017 20:55:13.276,22,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF025003FF03FF90
07-18-2017 20:55:13.276,23,RECV,7E0018920013A20040B10630FFFEC10100000F0000000000000019AA
07-18-2017 20:55:14.272,24,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF025103FF03FF8F
07-18-2017 20:55:14.322,25,RECV,7E0018920013A20040B10630FFFEC10100000F000000000000001AA9
07-18-2017 20:55:15.243,26,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF025103FF03FF8F
07-18-2017 20:55:15.283,27,RECV,7E0018920013A20040B10630FFFEC10100000F0000000000000019AA
07-18-2017 20:55:16.243,28,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF025103FF03FF8F
07-18-2017 20:55:16.294,29,RECV,7E0018920013A20040B10630FFFEC10100000F0000000000000019AA
07-18-2017 20:55:32.278,30,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF025103FF03FF8F
07-18-2017 20:55:32.328,31,RECV,7E0018920013A20040B10630FFFEC10100000F000000000000001CA7
07-18-2017 20:55:33.278,32,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF025103FF03FF8F
07-18-2017 20:55:33.328,33,RECV,7E0018920013A20040B10630FFFEC10100000F000000000000001BA8
07-18-2017 20:55:34.013,34,SENT,7E000408284E542D
07-18-2017 20:55:34.033,35,RECV,7E000788284E540000822B
07-18-2017 20:55:34.161,36,SENT,7E000408054E4460
07-18-2017 20:55:34.284,37,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF024E03FF03FF92
07-18-2017 20:55:34.358,38,RECV,7E0018920013A20040B10630FFFEC10100000F000000000000001CA7
07-18-2017 20:55:35.241,39,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF025103FF03FF8F
07-18-2017 20:55:35.292,40,RECV,7E0018920013A20040B10630FFFEC10100000F000000000000001CA7
07-18-2017 20:55:36.272,41,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF025103FF03FF8F
07-18-2017 20:55:36.322,42,RECV,7E0018920013A20040B10630FFFEC10100000F000000000000001CA7
07-18-2017 20:55:37.268,43,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF025103FF03FF8F
07-18-2017 20:55:37.328,44,RECV,7E0018920013A20040B10630FFFEC10100000F000000000000001CA7
07-18-2017 20:55:38.276,45,RECV,7E0018920013A20040C0C939FFFEC10100000F03FF025103FF03FF8F
07-18-2017 20:55:38.327,46,RECV,7E0018920013A20040B10630FFFEC10100000F000000000000001DA6
07-18-2017 20:55:38.518,47,RECV,7E002788054E4400FFFE0013A20040B106304553435241564F20494900FFFE0100C105101E000B00002A1B
