07-24-2017 08:03:14.338,-,API,"MESTRE SLEEP,0013A20040C0C9D1,XBee PRO 900HP 200K,8071,COM3 - 9600/8/N/1/N,3"

07-24-2017 08:02:52.204,0,SENT,7E000408324E5423
07-24-2017 08:02:52.254,1,RECV,7E000788324E5400008221
07-24-2017 08:02:52.334,2,SENT,7E000408034E4462
07-24-2017 08:02:57.671,3,RECV,7E002788034E4400FFFE0013A20040B106304553435241564F20494900FFFE0100C105101E000B00003314
07-24-2017 08:02:57.671,4,SENT,7E000F17330013A20040B10630FFFE02523F49
07-24-2017 08:02:57.778,5,RECV,7E000F97330013A20040B10630FFFE523F02C9
07-24-2017 08:02:57.778,6,SENT,7E000F17340013A20040B10630FFFE02254371
07-24-2017 08:02:57.913,7,RECV,7E001097340013A20040B10630FFFE25430001F2
07-24-2017 08:02:57.913,8,SENT,7E000F17350013A20040B10630FFFE0248563A
07-24-2017 08:02:58.043,9,RECV,7E001197350013A20040B10630FFFE485600234257
07-24-2017 08:02:58.043,10,SENT,7E000F17360013A20040B10630FFFE0256522F
07-24-2017 08:02:58.183,11,RECV,7E001197360013A20040B10630FFFE5652008074BD
07-24-2017 08:02:58.183,12,SENT,7E000F17370013A20040B10630FFFE02415045
07-24-2017 08:02:58.313,13,RECV,7E001097370013A20040B10630FFFE41500001C6
07-24-2017 08:03:01.790,14,RECV,7E002588034E4400FFFE0013A20040C0C939204553435241564F00FFFE0100C105101E000B000028D6
07-24-2017 08:03:01.800,15,SENT,7E000F17380013A20040C0C939FFFE02523F69
07-24-2017 08:03:01.910,16,RECV,7E000F97380013A20040C0C939FFFE523F02E9
07-24-2017 08:03:01.910,17,SENT,7E000F17390013A20040C0C939FFFE02254391
07-24-2017 08:03:02.000,18,RECV,7E001097390013A20040C0C939FFFE2543000112
07-24-2017 08:03:02.050,19,SENT,7E000F173A0013A20040C0C939FFFE0248565A
07-24-2017 08:03:02.190,20,RECV,7E0011973A0013A20040C0C939FFFE485600234475
07-24-2017 08:03:02.190,21,SENT,7E000F173B0013A20040C0C939FFFE0256524F
07-24-2017 08:03:02.320,22,RECV,7E0011973B0013A20040C0C939FFFE5652008074DD
07-24-2017 08:03:02.320,23,SENT,7E000F173C0013A20040C0C939FFFE02415065
07-24-2017 08:03:02.410,24,RECV,7E0010973C0013A20040C0C939FFFE41500001E6
