07-17-2017 08:19:42.004,-,API,"MESTRE SLEEP,0013A20040C0C9D1,XBee PRO 900HP 200K,8071,COM3 - 9600/8/N/1/N,3"

07-17-2017 08:12:26.676,0,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5011503FF03FFE9
07-17-2017 08:12:27.635,1,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5011403FF03FFEA
07-17-2017 08:12:28.639,2,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5011503FF03FFE9
07-17-2017 08:12:29.681,3,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5011503E103FF07
07-17-2017 08:12:30.728,4,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5011403F403FFF5
07-17-2017 08:12:31.659,5,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5011403FF03FFEA
07-17-2017 08:12:32.666,6,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5011503FF03FFE9
07-17-2017 08:12:33.669,7,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5011403FF03FFEA
07-17-2017 08:12:34.689,8,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5011403FF03FFEA
07-17-2017 08:12:35.660,9,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5012003FF03FFDE
07-17-2017 08:12:36.709,10,RECV,7E0018920013A20040C0C939FFFEC10100000F00E4012B03D503FFFE
07-17-2017 08:12:37.674,11,RECV,7E0018920013A20040C0C939FFFEC10100000F00E4013803BC03F118
07-17-2017 08:12:38.707,12,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5014003FF03FFBE
07-17-2017 08:12:39.708,13,RECV,7E0018920013A20040C0C939FFFEC10100000F00E4014403FF03FFBB
07-17-2017 08:12:40.720,14,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5014603FF03FFB8
07-17-2017 08:12:41.686,15,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5014803FF03FFB6
07-17-2017 08:12:42.750,16,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5014903FF03FFB5
07-17-2017 08:12:43.720,17,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5014903E803FFCC
07-17-2017 08:12:44.726,18,RECV,7E0018920013A20040C0C939FFFEC10100000F00E4014A03DE03FFD6
07-17-2017 08:12:45.729,19,RECV,7E0018920013A20040C0C939FFFEC10100000F00E4014B03FF03FFB4
07-17-2017 08:12:46.690,20,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5014D03FF03FFB1
07-17-2017 08:12:47.733,21,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5014E03FF03FFB0
07-17-2017 08:12:48.688,22,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5014E03FF03FFB0
07-17-2017 08:12:49.751,23,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5014E03FF03FFB0
07-17-2017 08:12:50.706,24,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5014E03DF03FFD0
07-17-2017 08:12:51.740,25,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5014F03E103FFCD
07-17-2017 08:12:52.724,26,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5015003FF03FFAE
07-17-2017 08:12:53.717,27,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5014F03FF03FFAF
07-17-2017 08:12:54.708,28,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5014C03FF03FFB2
07-17-2017 08:12:55.746,29,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5014703FF03FFB7
07-17-2017 08:12:56.748,30,RECV,7E0018920013A20040C0C939FFFEC10100000F00E4014403FF03FFBB
07-17-2017 08:12:57.708,31,RECV,7E0018920013A20040C0C939FFFEC10100000F00E4014203E603FFD6
07-17-2017 08:12:58.766,32,RECV,7E0018920013A20040C0C939FFFEC10100000F00E4013F03FF03FFC0
07-17-2017 08:12:59.754,33,RECV,7E0018920013A20040C0C939FFFEC10100000F00E4013D03FF03FFC2
07-17-2017 08:13:00.739,34,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5013B03FF03FFC3
07-17-2017 08:13:01.741,35,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5013803FF03FFC6
07-17-2017 08:13:02.721,36,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5013603FF03FFC8
07-17-2017 08:13:03.739,37,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5013403E403FFE5
07-17-2017 08:13:04.730,38,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5013203E303FFE8
07-17-2017 08:13:05.818,39,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5013103FF03FFCD
07-17-2017 08:13:06.751,40,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5012F03FF03FFCF
07-17-2017 08:13:07.751,41,RECV,7E0018920013A20040C0C939FFFEC10100000F00E5012E03FF03FFD0
